subjectCode,courseNumber,courseTitle,term,number,deeperUnderstanding,interest,tech,grades,recommend,college,subject
AAS,3001,Contmp Persp on Asian America,Spr 2015,6,5.67,5.67,5.5,5.67,5.83,CLA,Asian American Studies
AAS,3486,Hmong Refugees,Spr 2015,17,5.71,5.59,5.12,5.24,5.18,CLA,Asian American Studies
AAS,3503,"Asian Am Id, Families & Comm",Spr 2015,22,5.57,5.52,5.53,5.62,5.76,CLA,Asian American Studies
AAS,3877,Asian American History,Fall 2015,39,5.77,5.62,5.51,5.42,5.55,CLA,Asian American Studies
AAS,3920,Topics: Asian American Studies,Fall 2015,9,5.89,5.67,4.89,5.22,5.56,CLA,Asian American Studies
AAS,4232,Am Drama by Writers of Color,Spr 2015,4,5.75,5.75,5.67,5.75,5.67,CLA,Asian American Studies
AAS,4311,Asian American Lit. and Drama,Fall 2015,6,5.83,5.67,5.17,5.33,5.83,CLA,Asian American Studies
AAS,3251W,"Race, Class & Gender",Spr 2015,35,4.91,4.71,4.57,4.94,4.82,CLA,Asian American Studies
ABUS,3051,Career Skills in Pro Envrnmt,Spr 2015,20,5.32,5.33,5.58,5.47,5.42,CCE,Applied Business
ABUS,3051,Career Skills in Pro Envrnmt,Sum 2015,4,6,6,6,6,6,CCE,Applied Business
ABUS,3051,Career Skills in Pro Envrnmt,Fall 2015,16,5.38,5.31,5.5,5.56,5.5,CCE,Applied Business
ABUS,3065,ComputerSecurity Business Pro,Fall 2015,11,4.45,4.36,4.3,3.64,4.27,CCE,Applied Business
ABUS,3301,Intro to Quality Management,Spr 2015,5,5,4.6,5.4,5.2,4.4,CCE,Applied Business
ABUS,3301,Intro to Quality Management,Fall 2015,9,5.44,5,5.22,5.56,5.22,CCE,Applied Business
ABUS,3510,Virtual Global Communication,Fall 2015,7,5.14,4.86,4.71,4.71,4.86,CCE,Applied Business
ABUS,4012,DecisionMaking&ProblemSolving,Fall 2015,13,5.23,4.85,5.08,5.31,4.92,CCE,Applied Business
ABUS,4022,Management in Organizations,Spr 2015,8,4.88,4.38,4.5,4.63,4.86,CCE,Applied Business
ABUS,4022,Management in Organizations,Sum 2015,10,5.3,5,5,4.89,4.8,CCE,Applied Business
ABUS,4022,Management in Organizations,Fall 2015,10,5.2,5.2,5.3,5.5,5.5,CCE,Applied Business
ABUS,4041,Dynamics of Leadership,Spr 2015,9,4.5,3.88,4.25,4.13,4,CCE,Applied Business
ABUS,4041,Dynamics of Leadership,Sum 2015,5,5.2,5,5.4,5.8,4.6,CCE,Applied Business
ABUS,4041,Dynamics of Leadership,Fall 2015,11,5.64,5.36,5.64,5.64,5.09,CCE,Applied Business
ABUS,4043,Project Management in Practice,Spr 2015,9,5.33,5.11,4.89,5.33,4.89,CCE,Applied Business
ABUS,4101,Accounting&Finance for Mgrs,Spr 2015,9,4.56,4,4.56,3.78,4.11,CCE,Applied Business
ABUS,4101,Accounting&Finance for Mgrs,Fall 2015,6,4.17,3.5,4.17,4.5,3.33,CCE,Applied Business
ABUS,4104,Management and Human Resource,Spr 2015,6,4.83,5,5,5,5.2,CCE,Applied Business
ABUS,4104,Management and Human Resource,Fall 2015,10,5.4,5,5.3,5.4,5.4,CCE,Applied Business
ABUS,4151,Innovation for Leaders & Orgs.,Spr 2015,6,5.33,5.5,5.67,5.67,5.5,CCE,Applied Business
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2015,15,5.36,5.27,5.53,5.33,5.4,CCE,Applied Business
ABUS,4509,New Product Development,Spr 2015,6,5.33,5.33,5.83,5.33,5,CCE,Applied Business
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2015,6,5,5.17,4.83,5.33,5.17,CCE,Applied Business
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2015,4,5.75,5.5,5.5,5.5,5.75,CCE,Applied Business
ABUS,4701,Introduction to Marketing,Spr 2015,8,4.75,4.38,5,5.25,4.88,CCE,Applied Business
ABUS,4701,Introduction to Marketing,Fall 2015,17,5.41,5.06,5.47,5.12,5.12,CCE,Applied Business
ABUS,4703,Marketing the Pro Practice,Sum 2015,3,3.67,5,4.67,5,5.33,CCE,Applied Business
ABUS,4705,Leadership & Mgmt Prof Pract,Sum 2015,4,5.75,5.5,5,5.75,5.5,CCE,Applied Business
ABUS,4707,Finance Mgmt for Pro Practice,Sum 2015,5,4.4,4,4.4,4.6,4.25,CCE,Applied Business
ABUS,4709,Managing Prof Pract I: Bus Des,Sum 2015,1,6,5,4,6,6,CCE,Applied Business
ABUS,4013W,"Law, Ethics, & Risk for Mgrs",Fall 2015,11,5.09,4.36,5.36,5.55,5.4,CCE,Applied Business
ABUS,4023W,Communicating for Results,Spr 2015,44,5.27,5.05,5.32,5.27,5.36,CCE,Applied Business
ABUS,4023W,Communicating for Results,Sum 2015,26,5.31,5,5.23,5.46,5.33,CCE,Applied Business
ABUS,4023W,Communicating for Results,Fall 2015,38,4.95,4.42,5.11,5.32,5.11,CCE,Applied Business
ABUS,4571W,Grant Writ Health & Nonprofit,Spr 2015,2,5,5,5,5.5,5,CCE,Applied Business
ABUS,4571W,Grant Writ Health & Nonprofit,Fall 2015,4,6,5.75,6,6,6,CCE,Applied Business
ACCT,2050,Intr Financial Rptg,Spr 2015,422,5.26,4.59,5.07,5.06,4.88,CSOM,Accounting
ACCT,2050,Intr Financial Rptg,Sum 2015,26,5.27,4.81,4.77,5.28,4.96,CSOM,Accounting
ACCT,2050,Intr Financial Rptg,Fall 2015,556,5.25,4.52,5.06,5.15,4.85,CSOM,Accounting
ACCT,3001,Intro Mgmt Acct,Spr 2015,214,5.31,4.65,5.1,5.29,5.07,CSOM,Accounting
ACCT,3001,Intro Mgmt Acct,Sum 2015,33,4.88,4.42,4.38,4.9,4.48,CSOM,Accounting
ACCT,3001,Intro Mgmt Acct,Fall 2015,239,5.41,4.55,5.23,5.44,5.09,CSOM,Accounting
ACCT,3150,Accountants Finance Function,Fall 2015,68,4.9,4.78,4.87,4.69,4.47,CSOM,Accounting
ACCT,5101,Inediate Accounting I,Spr 2015,111,5.52,4.93,5.29,5.46,5.19,CSOM,Accounting
ACCT,5101,Inediate Accounting I,Fall 2015,189,5.4,4.59,5.33,5.53,5.08,CSOM,Accounting
ACCT,5102,Inediate Accounting II,Spr 2015,109,5.55,4.72,5.27,5.16,4.89,CSOM,Accounting
ACCT,5102,Inediate Accounting II,Fall 2015,70,5.33,4.6,4.86,4.97,4.66,CSOM,Accounting
ACCT,5126,Internal Auditing,Spr 2015,53,5.49,5.11,5.24,5.3,5.27,CSOM,Accounting
ACCT,5135,Federal Income Tax,Spr 2015,71,5.54,5.27,5.22,5.44,5.43,CSOM,Accounting
ACCT,5135,Federal Income Tax,Fall 2015,80,5.58,5.13,5.34,5.41,5.35,CSOM,Accounting
