Filing - Patent Issued Date,Department
06-Jul-2010,CBS Molecular Biology
03-Aug-2010,CSENG ECE Admin
03-Aug-2010,CSENG ECE Admin
10-Aug-2010,CFANS Administration
10-Aug-2010,Outside U of M
17-Aug-2010,CSENG ECE Admin
17-Aug-2010,Veterinary Population Medicine
17-Aug-2010,Radiology Administration
17-Aug-2010,Radiology Administration
17-Aug-2010,Radiology Administration
17-Aug-2010,Radiology Administration
31-Aug-2010,Radiology Administration
31-Aug-2010,Radiology Administration
31-Aug-2010,Radiology Administration
21-Sep-2010,CSENG ECE Admin
21-Sep-2010,CSENG ECE Admin
21-Sep-2010,CSENG ECE Admin
21-Sep-2010,CSENG ECE Admin
21-Sep-2010,CSENG Biomedical Eng Admin
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
21-Sep-2010,Radiology Administration
12-Oct-2010,CBS Molecular Biology
02-Nov-2010,CSENG ECE Admin
02-Nov-2010,CSENG ECE Admin
02-Nov-2010,CSENG ECE Admin
02-Nov-2010,CSENG ECE Admin
02-Nov-2010,Outside U of M
02-Nov-2010,Outside U of M
22-Nov-2010,"Agron&Plant Genetics, Dept of"
22-Nov-2010,"Agron&Plant Genetics, Dept of"
22-Nov-2010,"Agron&Plant Genetics, Dept of"
22-Nov-2010,"Agron&Plant Genetics, Dept of"
22-Nov-2010,"Plant Pathology, Dept of"
22-Nov-2010,"Plant Pathology, Dept of"
22-Nov-2010,"Plant Pathology, Dept of"
22-Nov-2010,"Plant Pathology, Dept of"
22-Nov-2010,"Northwest ROC, Crookston"
22-Nov-2010,"Northwest ROC, Crookston"
22-Nov-2010,Outside U of M
22-Nov-2010,Outside U of M
22-Nov-2010,Outside U of M
23-Nov-2010,"CSENG Math & It's Applic, Inst"
23-Nov-2010,LMP Administration
23-Nov-2010,MED Medicine Dept Admin
23-Nov-2010,MED Medicine Dept Admin
30-Nov-2010,CSENG Biomedical Eng Admin
30-Nov-2010,CSENG Biomedical Eng Admin
30-Nov-2010,CSENG Biomedical Eng Admin
28-Dec-2010,NRRI CARTD Admin
28-Dec-2010,NRRI CARTD Admin
04-Jan-2011,CSENG ECE Admin
04-Jan-2011,CSENG ECE Admin
11-Jan-2011,CSENG ECE Admin
11-Jan-2011,CSENG ECE Admin
11-Jan-2011,CSENG ECE Admin
11-Jan-2011,CSENG ECE Admin
11-Jan-2011,CSENG ECE Admin
11-Jan-2011,Veterinary Biomedical Science
11-Jan-2011,Veterinary Biomedical Science
11-Jan-2011,Veterinary Biomedical Science
11-Jan-2011,Veterinary Biomedical Science
11-Jan-2011,Outside U of M
25-Jan-2011,NRRI Minerals-Coleraine
25-Jan-2011,NRRI Minerals-Coleraine
25-Jan-2011,NRRI Minerals-Coleraine
01-Feb-2011,CSENG Chemistry Administration
01-Feb-2011,CSENG Chemistry Administration
01-Feb-2011,CSENG Chemistry Administration
01-Feb-2011,CSENG ECE Admin
01-Feb-2011,CSENG ECE Admin
01-Feb-2011,Outside U of M
01-Feb-2011,Outside U of M
01-Feb-2011,Outside U of M
08-Feb-2011,CSENG Biomedical Eng Admin
08-Feb-2011,MED Medicine Dept Admin
08-Feb-2011,MED Medicine Dept Admin
15-Feb-2011,CSENG Chemistry Administration
15-Feb-2011,CSENG Chemistry Administration
15-Feb-2011,CSENG Chemistry Administration
15-Feb-2011,CSENG Chemistry Administration
15-Feb-2011,CSENG Chemistry Administration
15-Feb-2011,CSENG ECE Admin
15-Feb-2011,CSENG ECE Admin
15-Feb-2011,CSENG ECE Admin
15-Feb-2011,CSENG ECE Admin
15-Feb-2011,Outside U of M
15-Feb-2011,Outside U of M
15-Feb-2011,Outside U of M
15-Feb-2011,Outside U of M
22-Feb-2011,CSENG Chemistry Administration
22-Feb-2011,CSENG Chemistry Administration
22-Feb-2011,CSENG Chemistry Administration
22-Feb-2011,Radiology Administration
22-Feb-2011,Radiology Administration
22-Feb-2011,Radiology Administration
22-Feb-2011,Outside U of M
22-Feb-2011,Outside U of M
22-Feb-2011,Outside U of M
01-Mar-2011,CBS Molecular Biology
01-Mar-2011,CBS Molecular Biology
01-Mar-2011,MED Medicine Dept Admin
01-Mar-2011,MED Medicine Dept Admin
01-Mar-2011,PMR Administration
08-Mar-2011,CBS Biotech Resource Center
08-Mar-2011,CSENG Chem Eng & Mat Sci Admin
08-Mar-2011,CSENG Chem Eng & Mat Sci Admin
08-Mar-2011,CSENG Chem Eng & Mat Sci Admin
08-Mar-2011,CSENG ECE Admin
