States,value
Alabama,93.8
Alaska,60.4
Arizona,56.1
Arkansas,95
California,91.5
Connecticut,96.9
Delaware,100
Florida,84.4
Georgia,94.7
Hawaii,85.5
Idaho,96.6
Illinois,99.2
Indiana,96.3
Iowa,81.1
Kansas,93.4
Kentucky,98
Maine,97.3
Maryland,99.1
Massachusetts,87.8
Michigan,93.8
Minnesota,94.7
Mississippi,95.2
Missouri,92.6
Montana,91.6
Nebraska,81.3
Nevada,90.8
New Hampshire,100
New Jersey,100
New York,99.5
North Carolina,96.3
North Dakota,84.4
Ohio,91.4
Oregon,96.9
Pennsylvania,94
Rhode Island,90
South Carolina,88.4
South Dakota,66.4
Tennessee,93.5
Vermont,98.1
Virginia,91.8
Washington,95.4
West Virginia,98.7
Wisconsin,94.2
Wyoming,93.4
