States,value
Alabama,57.5
Alaska,40.9
Arizona,23.3
Arkansas,70.1
California,65.6
Connecticut,69.4
Delaware,85
Florida,71
Georgia,71.3
Hawaii,68.4
Idaho,77.1
Illinois,84.4
Indiana,84.3
Iowa,77.2
Kansas,62.9
Kentucky,61.8
Maine,80.7
Maryland,81.7
Massachusetts,67.9
Michigan,79.2
Minnesota,83.8
Mississippi,75.3
Missouri,71.6
Montana,79.1
Nebraska,55.5
Nevada,84.6
New Hampshire,84.7
New Jersey,87.7
New York,96.5
North Carolina,89.3
North Dakota,79.6
Ohio,73
Oregon,83.3
Pennsylvania,74.2
Rhode Island,86.4
South Carolina,83.8
South Dakota,41.7
Tennessee,52.4
Vermont,71
Virginia,81.6
Washington,82.6
West Virginia,85.8
Wisconsin,91.8
Wyoming,74.3
