States,value
Alabama,49.2
Alaska,46.1
Arizona,28.5
Arkansas,58.8
California,79.4
Connecticut,87.9
Delaware,75.9
Florida,55.4
Georgia,38.8
Hawaii,79.3
Idaho,60.6
Illinois,59.9
Indiana,41.5
Iowa,51
Kansas,54.7
Kentucky,71.7
Maine,88.6
Maryland,81.1
Massachusetts,79
Michigan,59.5
Minnesota,58.9
Mississippi,52.7
Missouri,49
Montana,60.1
Nebraska,39
Nevada,59.4
New Hampshire,96.4
New Jersey,96
New York,92.8
North Carolina,63
North Dakota,49
Ohio,47.6
Oregon,81.2
Pennsylvania,58.7
Rhode Island,73.3
South Carolina,55.4
South Dakota,30.8
Tennessee,56.6
Vermont,92.3
Virginia,54.7
Washington,73.6
West Virginia,81.3
Wisconsin,70.3
Wyoming,54
