Department,Average_Salary
Accounting,"$206,019.57 "
Aerospace Engr/Mechanics,"$109,541.43 "
Afr American/African Studies,"$95,908.00 "
Agricultural Education,"$70,201.40 "
Agronomy/Plant Genetics,"$113,909.47 "
Allied-Medical Lab Science,"$90,075.80 "
Allied-Occupational Therapy,"$68,072.60 "
American Indian Studies,"$85,847.83 "
American Studies,"$96,209.25 "
Anesthesiology,"$46,435.42 "
"Animal Hlth/Food Safety, Ctr","$184,308.00 "
"Animal Science, Dept of","$106,245.42 "
Anthropology,"$92,846.11 "
Applied Economics,"$120,277.48 "
"Architecture, School of","$32,677.59 "
Art Dept,"$75,943.71 "
Art History,"$92,378.10 "
Asian Languages/Literatures,"$78,147.00 "
"Astrophysics, MN Institute for","$119,131.18 "
Bell Museum of Natural History,"$106,208.50 "
"Biochem,Molec Biol,Biophy TCBS","$122,534.45 "
"Biochem,Molec Biol,Biophy TMED","$121,271.84 "
"Bioethics, Center for","$110,295.67 "
Biology Program,"$72,427.10 "
Biomedical Engineering,"$110,545.78 "
BioMedical Health Informatics,"$99,370.20 "
Bioproducts/Biosystems Engr,"$91,517.10 "
Biostatistics,"$140,334.54 "
Biotechnology Institute,"$104,146.17 "
Cancer Center,"$102,953.55 "
CCE Degree and Credit Programs,$0.00 
CDes Research and Outreach,"$120,000.00 "
Chemical Engr/Mat Sci,"$120,983.27 "
Chemistry,"$110,124.19 "
Chicano and Latino Studies,"$65,211.00 "
"Child Development, Inst of","$133,262.24 "
"Civil, Envrn & Geo- Eng","$117,355.84 "
Classical/Near Eastern Studies,"$88,515.00 "
Cloquet Forestry Center,"$126,237.00 "
Communication Studies,"$94,000.21 "
Computer Science/Engineering,"$133,529.58 "
Cultural Studies/Compa Lit,"$100,675.90 "
Curriculum and Instruction,"$90,448.30 "
Dermatology,"$44,404.17 "
"Design, Housing/Apparel","$92,218.36 "
Developmental/Surgical Science,"$67,178.00 "
Diagnostic/Biological Sciences,"$113,161.35 "
DMED Biobehav Hlth/Population,"$110,517.00 "
DMED Biomedical Sciences,"$71,310.62 "
DMED Family Med/Comm Hlth,"$122,405.33 "
"Drug Design, Center for","$104,576.83 "
Duluth Pharmacy Program,"$104,541.43 "
"Earth Sciences, Department of","$104,573.05 "
"Ecology, Evolution/Behavior","$105,017.26 "
Economics,"$238,892.12 "
Educational Psychology,"$95,514.48 "
Electrical and Computer Engr,"$118,443.54 "
Emergency Medicine,"$53,671.33 "
"English, Language/Literature","$88,224.06 "
"Entomology, Dept of","$107,013.19 "
Environmental Health Sciences,"$130,322.78 "
Epidemiology,"$135,118.90 "
Experimental/Clin Pharmacology,"$119,165.78 "
Family Medicine/Comm Health,"$57,462.64 "
Family Social Science,"$104,534.10 "
Finance,"$211,076.13 "
